row,obs,id,task,alt,choice,none,brand_1,brand_2,ftlabel,cocoa_low,cocoa_high,price,female,age_26
39,13,1,13,3,1,1,0,0,0,0,0,0,0,0
40,14,1,14,1,0,0,-1,-1,1,0,1,1.19,0,0
41,14,1,14,2,1,0,1,0,-1,1,0,0.99,0,0
42,14,1,14,3,0,1,0,0,0,0,0,0,0,0
43,15,2,1,1,0,0,-1,-1,-1,0,1,0.89,0,0
44,15,2,1,2,1,0,1,0,1,-1,-1,1.49,0,0
45,15,2,1,3,0,1,0,0,0,0,0,0,0,0
46,16,2,2,1,1,0,-1,-1,1,-1,-1,1.49,0,0
47,16,2,2,2,0,0,0,1,1,1,0,0.89,0,0
48,16,2,2,3,0,1,0,0,0,0,0,0,0,0
49,17,2,3,1,0,0,1,0,1,1,0,1.99,0,0
50,17,2,3,2,1,0,-1,-1,1,1,0,0.99,0,0
51,17,2,3,3,0,1,0,0,0,0,0,0,0,0
52,18,2,4,1,1,0,0,1,1,0,1,1.49,0,0
53,18,2,4,2,0,0,-1,-1,-1,-1,-1,1.99,0,0
54,18,2,4,3,0,1,0,0,0,0,0,0,0,0
55,19,2,5,1,1,0,0,1,-1,1,0,0.99,0,0
56,19,2,5,2,0,0,-1,-1,-1,0,1,1.49,0,0
57,19,2,5,3,0,1,0,0,0,0,0,0,0,0
58,20,2,6,1,0,0,0,1,-1,-1,-1,0.99,0,0
59,20,2,6,2,1,0,1,0,-1,-1,-1,0.89,0,0
60,20,2,6,3,0,1,0,0,0,0,0,0,0,0
61,21,2,7,1,1,0,-1,-1,1,1,0,1.19,0,0
62,21,2,7,2,0,0,1,0,-1,1,0,0.89,0,0
63,21,2,7,3,0,1,0,0,0,0,0,0,0,0
64,22,2,8,1,1,0,-1,-1,1,1,0,1.99,0,0
65,22,2,8,2,0,0,1,0,-1,1,0,1.49,0,0
66,22,2,8,3,0,1,0,0,0,0,0,0,0,0
67,23,2,9,1,0,0,-1,-1,-1,1,0,1.19,0,0
68,23,2,9,2,1,0,0,1,1,0,1,0.89,0,0
69,23,2,9,3,0,1,0,0,0,0,0,0,0,0
70,24,2,10,1,0,0,1,0,-1,0,1,1.19,0,0
71,24,2,10,2,1,0,0,1,-1,-1,-1,1.99,0,0
72,24,2,10,3,0,1,0,0,0,0,0,0,0,0
73,25,2,11,1,1,0,1,0,1,0,1,1.99,0,0
74,25,2,11,2,0,0,0,1,-1,0,1,1.19,0,0
75,25,2,11,3,0,1,0,0,0,0,0,0,0,0
76,26,2,12,1,1,0,1,0,1,-1,-1,0.99,0,0
77,26,2,12,2,0,0,-1,-1,1,-1,-1,0.89,0,0
78,26,2,12,3,0,1,0,0,0,0,0,0,0,0
79,27,2,13,1,0,0,1,0,1,0,1,0.99,0,0
80,27,2,13,2,1,0,0,1,-1,1,0,1.49,0,0
81,27,2,13,3,0,1,0,0,0,0,0,0,0,0
82,28,2,14,1,0,0,-1,-1,-1,0,1,0.99,0,0
83,28,2,14,2,1,0,0,1,1,-1,-1,1.19,0,0
84,28,2,14,3,0,1,0,0,0,0,0,0,0,0
85,29,3,1,1,0,0,-1,-1,1,0,1,0.89,0,0
86,29,3,1,2,1,0,1,0,-1,0,1,1.49,0,0
87,29,3,1,3,0,1,0,0,0,0,0,0,0,0
88,30,3,2,1,0,0,-1,-1,1,1,0,1.49,0,0
89,30,3,2,2,1,0,1,0,-1,1,0,0.99,0,0
90,30,3,2,3,0,1,0,0,0,0,0,0,0,0
91,31,3,3,1,1,0,0,1,1,0,1,0.99,0,0
92,31,3,3,2,0,0,1,0,1,1,0,0.89,0,0
93,31,3,3,3,0,1,0,0,0,0,0,0,0,0
94,32,3,4,1,0,0,0,1,-1,-1,-1,0.89,0,0
95,32,3,4,2,1,0,-1,-1,-1,-1,-1,0.99,0,0
96,32,3,4,3,0,1,0,0,0,0,0,0,0,0
97,33,3,5,1,0,0,0,1,-1,-1,-1,1.99,0,0
98,33,3,5,2,1,0,-1,-1,-1,0,1,1.19,0,0
99,33,3,5,3,0,1,0,0,0,0,0,0,0,0
100,34,3,6,1,1,0,0,1,1,-1,-1,1.19,0,0
101,34,3,6,2,0,0,-1,-1,-1,1,0,0.89,0,0
102,34,3,6,3,0,1,0,0,0,0,0,0,0,0
103,35,3,7,1,1,0,-1,-1,1,-1,-1,1.49,0,0
104,35,3,7,2,0,0,0,1,-1,1,0,0.99,0,0
105,35,3,7,3,0,1,0,0,0,0,0,0,0,0
106,36,3,8,1,1,0,1,0,1,-1,-1,0.89,0,0
107,36,3,8,2,0,0,-1,-1,-1,0,1,1.99,0,0
108,36,3,8,3,0,1,0,0,0,0,0,0,0,0
109,37,3,9,1,0,0,-1,-1,1,1,0,1.99,0,0
110,37,3,9,2,1,0,1,0,-1,0,1,1.49,0,0
111,37,3,9,3,0,1,0,0,0,0,0,0,0,0
112,38,3,10,1,0,0,0,1,1,1,0,1.49,0,0
113,38,3,10,2,1,0,1,0,-1,1,0,1.19,0,0
114,38,3,10,3,0,1,0,0,0,0,0,0,0,0
115,39,3,11,1,1,0,-1,-1,1,0,1,0.99,0,0
116,39,3,11,2,0,0,0,1,1,1,0,1.99,0,0
117,39,3,11,3,0,1,0,0,0,0,0,0,0,0
118,40,3,12,1,0,0,-1,-1,-1,-1,-1,1.19,0,0
119,40,3,12,2,1,0,1,0,-1,-1,-1,1.99,0,0
120,40,3,12,3,0,1,0,0,0,0,0,0,0,0
121,41,3,13,1,1,0,1,0,1,0,1,1.99,0,0
122,41,3,13,2,0,0,0,1,-1,0,1,0.89,0,0
123,41,3,13,3,0,1,0,0,0,0,0,0,0,0
124,42,3,14,1,1,0,1,0,1,-1,-1,0.99,0,0
125,42,3,14,2,0,0,0,1,1,0,1,1.19,0,0
126,42,3,14,3,0,1,0,0,0,0,0,0,0,0
127,43,6,1,1,0,0,1,0,-1,1,0,0.89,0,0
128,43,6,1,2,1,0,0,1,-1,1,0,1.19,0,0
129,43,6,1,3,0,1,0,0,0,0,0,0,0,0
130,44,6,2,1,0,0,-1,-1,-1,0,1,1.19,0,0
131,44,6,2,2,1,0,0,1,1,0,1,1.49,0,0
132,44,6,2,3,0,1,0,0,0,0,0,0,0,0
133,45,6,3,1,0,0,1,0,-1,-1,-1,1.19,0,0
134,45,6,3,2,1,0,0,1,1,1,0,0.89,0,0
135,45,6,3,3,0,1,0,0,0,0,0,0,0,0
136,46,6,4,1,0,0,1,0,-1,0,1,0.99,0,0
137,46,6,4,2,0,0,0,1,-1,0,1,1.99,0,0
138,46,6,4,3,1,1,0,0,0,0,0,0,0,0
139,47,6,5,1,0,0,1,0,1,0,1,1.99,0,0
140,47,6,5,2,1,0,-1,-1,-1,1,0,0.99,0,0
141,47,6,5,3,0,1,0,0,0,0,0,0,0,0
142,48,6,6,1,0,0,1,0,1,-1,-1,0.89,0,0
143,48,6,6,2,1,0,-1,-1,1,1,0,1.49,0,0
144,48,6,6,3,0,1,0,0,0,0,0,0,0,0
145,49,6,7,1,0,0,-1,-1,-1,-1,-1,0.89,0,0
146,49,6,7,2,0,0,0,1,1,-1,-1,0.99,0,0
147,49,6,7,3,1,1,0,0,0,0,0,0,0,0
148,50,6,8,1,0,0,-1,-1,1,-1,-1,1.49,0,0
149,50,6,8,2,0,0,0,1,-1,-1,-1,1.99,0,0
150,50,6,8,3,1,1,0,0,0,0,0,0,0,0
151,51,6,9,1,0,0,1,0,1,1,0,0.99,0,0
152,51,6,9,2,1,0,0,1,1,1,0,1.19,0,0
153,51,6,9,3,0,1,0,0,0,0,0,0,0,0
154,52,6,10,1,0,0,1,0,-1,-1,-1,1.49,0,0
155,52,6,10,2,0,0,-1,-1,1,0,1,0.99,0,0
156,52,6,10,3,1,1,0,0,0,0,0,0,0,0
157,53,6,11,1,0,0,0,1,-1,0,1,0.89,0,0
158,53,6,11,2,0,0,-1,-1,-1,1,0,1.99,0,0
159,53,6,11,3,1,1,0,0,0,0,0,0,0,0
160,54,6,12,1,1,0,1,0,1,1,0,1.99,0,0
161,54,6,12,2,0,0,0,1,-1,-1,-1,0.99,0,0
162,54,6,12,3,0,1,0,0,0,0,0,0,0,0
163,55,6,13,1,0,0,-1,-1,1,0,1,0.89,0,0
164,55,6,13,2,0,0,1,0,1,-1,-1,1.19,0,0
165,55,6,13,3,1,1,0,0,0,0,0,0,0,0
166,56,6,14,1,0,0,-1,-1,1,-1,-1,1.99,0,0
167,56,6,14,2,0,0,1,0,-1,0,1,1.49,0,0
168,56,6,14,3,1,1,0,0,0,0,0,0,0,0
169,57,7,1,1,0,0,-1,-1,1,0,1,1.49,1,0
170,57,7,1,2,1,0,0,1,-1,-1,-1,0.99,1,0
171,57,7,1,3,0,1,0,0,0,0,0,0,1,0
172,58,7,2,1,0,0,1,0,1,-1,-1,1.49,1,0
173,58,7,2,2,0,0,-1,-1,-1,0,1,0.99,1,0
174,58,7,2,3,1,1,0,0,0,0,0,0,1,0
175,59,7,3,1,0,0,0,1,1,-1,-1,1.99,1,0
176,59,7,3,2,0,0,-1,-1,1,-1,-1,1.49,1,0
177,59,7,3,3,1,1,0,0,0,0,0,0,1,0
178,60,7,4,1,0,0,1,0,1,0,1,0.99,1,0
179,60,7,4,2,1,0,0,1,1,1,0,1.19,1,0
180,60,7,4,3,0,1,0,0,0,0,0,0,1,0
181,61,7,5,1,1,0,1,0,-1,1,0,0.89,1,0
182,61,7,5,2,0,0,0,1,1,1,0,1.19,1,0
183,61,7,5,3,0,1,0,0,0,0,0,0,1,0
184,62,7,6,1,0,0,0,1,-1,0,1,1.49,1,0
185,62,7,6,2,0,0,1,0,1,0,1,1.99,1,0
186,62,7,6,3,1,1,0,0,0,0,0,0,1,0
187,63,7,7,1,0,0,1,0,-1,0,1,1.19,1,0
188,63,7,7,2,0,0,-1,-1,-1,1,0,1.99,1,0
189,63,7,7,3,1,1,0,0,0,0,0,0,1,0
190,64,7,8,1,0,0,-1,-1,1,-1,-1,0.89,1,0
191,64,7,8,2,0,0,1,0,-1,-1,-1,1.99,1,0
192,64,7,8,3,1,1,0,0,0,0,0,0,1,0
193,65,7,9,1,1,0,-1,-1,1,1,0,0.99,1,0
194,65,7,9,2,0,0,1,0,-1,1,0,1.49,1,0
195,65,7,9,3,0,1,0,0,0,0,0,0,1,0
196,66,7,10,1,1,0,-1,-1,-1,1,0,0.89,1,0
197,66,7,10,2,0,0,1,0,-1,-1,-1,1.19,1,0
198,66,7,10,3,0,1,0,0,0,0,0,0,1,0
199,67,7,11,1,0,0,0,1,1,-1,-1,0.89,1,0
200,67,7,11,2,1,0,1,0,1,1,0,0.99,1,0
201,67,7,11,3,0,1,0,0,0,0,0,0,1,0
202,68,7,12,1,0,0,0,1,-1,0,1,0.89,1,0
203,68,7,12,2,0,0,-1,-1,1,0,1,1.19,1,0
204,68,7,12,3,1,1,0,0,0,0,0,0,1,0
205,69,7,13,1,0,0,-1,-1,-1,-1,-1,1.19,1,0
206,69,7,13,2,0,0,0,1,-1,0,1,1.99,1,0
207,69,7,13,3,1,1,0,0,0,0,0,0,1,0
208,70,7,14,1,0,0,1,0,1,0,1,0.89,1,0
209,70,7,14,2,1,0,0,1,-1,1,0,1.49,1,0
210,70,7,14,3,0,1,0,0,0,0,0,0,1,0
211,71,10,1,1,1,0,-1,-1,-1,0,1,0.89,0,0
212,71,10,1,2,0,0,0,1,-1,-1,-1,1.19,0,0
213,71,10,1,3,0,1,0,0,0,0,0,0,0,0
214,72,10,2,1,0,0,-1,-1,-1,1,0,0.99,0,0
215,72,10,2,2,1,0,1,0,1,0,1,0.89,0,0
216,72,10,2,3,0,1,0,0,0,0,0,0,0,0
217,73,10,3,1,0,0,0,1,-1,0,1,1.99,0,0
218,73,10,3,2,1,0,-1,-1,1,1,0,1.49,0,0
219,73,10,3,3,0,1,0,0,0,0,0,0,0,0
220,74,10,4,1,1,0,-1,-1,1,-1,-1,0.89,0,0
221,74,10,4,2,0,0,1,0,1,0,1,1.49,0,0
222,74,10,4,3,0,1,0,0,0,0,0,0,0,0
223,75,10,5,1,0,0,1,0,-1,1,0,0.89,0,0
224,75,10,5,2,1,0,-1,-1,1,0,1,1.19,0,0
225,75,10,5,3,0,1,0,0,0,0,0,0,0,0
226,76,10,6,1,0,0,-1,-1,1,-1,-1,1.99,0,0
227,76,10,6,2,1,0,1,0,1,-1,-1,0.99,0,0
228,76,10,6,3,0,1,0,0,0,0,0,0,0,0
229,77,10,7,1,0,0,-1,-1,-1,1,0,1.99,0,0
230,77,10,7,2,1,0,0,1,1,0,1,0.99,0,0
231,77,10,7,3,0,1,0,0,0,0,0,0,0,0
232,78,10,8,1,0,0,-1,-1,-1,-1,-1,1.49,0,0
233,78,10,8,2,1,0,1,0,-1,-1,-1,1.19,0,0
234,78,10,8,3,0,1,0,0,0,0,0,0,0,0
235,79,10,9,1,0,0,1,0,-1,0,1,1.99,0,0
236,79,10,9,2,1,0,0,1,-1,0,1,1.49,0,0
237,79,10,9,3,0,1,0,0,0,0,0,0,0,0
238,80,10,10,1,1,0,0,1,1,-1,-1,0.99,0,0
239,80,10,10,2,0,0,1,0,1,-1,-1,1.99,0,0
240,80,10,10,3,0,1,0,0,0,0,0,0,0,0
241,81,10,11,1,1,0,0,1,-1,-1,-1,0.89,0,0
242,81,10,11,2,0,0,-1,-1,1,0,1,1.19,0,0
243,81,10,11,3,0,1,0,0,0,0,0,0,0,0
244,82,10,12,1,0,0,0,1,1,1,0,1.99,0,0
245,82,10,12,2,1,0,-1,-1,-1,0,1,0.99,0,0
246,82,10,12,3,0,1,0,0,0,0,0,0,0,0
247,83,10,13,1,0,0,0,1,1,1,0,1.49,0,0
248,83,10,13,2,1,0,1,0,-1,1,0,0.99,0,0
249,83,10,13,3,0,1,0,0,0,0,0,0,0,0
250,84,10,14,1,1,0,0,1,1,1,0,0.89,0,0
251,84,10,14,2,0,0,1,0,-1,1,0,1.19,0,0
252,84,10,14,3,0,1,0,0,0,0,0,0,0,0
253,85,13,1,1,1,0,1,0,1,0,1,1.49,0,1
254,85,13,1,2,0,0,0,1,-1,-1,-1,1.99,0,1
255,85,13,1,3,0,1,0,0,0,0,0,0,0,1
256,86,13,2,1,0,0,0,1,1,1,0,1.99,0,1
257,86,13,2,2,0,0,1,0,-1,1,0,0.99,0,1
258,86,13,2,3,1,1,0,0,0,0,0,0,0,1
259,87,13,3,1,0,0,1,0,1,-1,-1,1.99,0,1
260,87,13,3,2,1,0,-1,-1,1,0,1,0.89,0,1
261,87,13,3,3,0,1,0,0,0,0,0,0,0,1
262,88,13,4,1,0,0,0,1,-1,1,0,1.19,0,1
263,88,13,4,2,0,0,-1,-1,-1,-1,-1,1.49,0,1
264,88,13,4,3,1,1,0,0,0,0,0,0,0,1
265,89,13,5,1,0,0,1,0,1,0,1,1.99,0,1
266,89,13,5,2,0,0,-1,-1,-1,-1,-1,1.49,0,1
267,89,13,5,3,1,1,0,0,0,0,0,0,0,1
268,90,13,6,1,0,0,0,1,1,-1,-1,1.19,0,1
269,90,13,6,2,0,0,-1,-1,-1,0,1,1.99,0,1
270,90,13,6,3,1,1,0,0,0,0,0,0,0,1
271,91,13,7,1,0,0,-1,-1,-1,1,0,1.99,0,1
272,91,13,7,2,0,0,0,1,-1,1,0,0.89,0,1
273,91,13,7,3,1,1,0,0,0,0,0,0,0,1
274,92,13,8,1,1,0,-1,-1,1,-1,-1,0.99,0,1
275,92,13,8,2,0,0,0,1,1,-1,-1,0.89,0,1
276,92,13,8,3,0,1,0,0,0,0,0,0,0,1
277,93,13,9,1,0,0,1,0,-1,-1,-1,0.89,0,1
278,93,13,9,2,1,0,-1,-1,-1,0,1,1.19,0,1
279,93,13,9,3,0,1,0,0,0,0,0,0,0,1
280,94,13,10,1,0,0,0,1,1,0,1,0.99,0,1
281,94,13,10,2,1,0,1,0,-1,-1,-1,1.19,0,1
282,94,13,10,3,0,1,0,0,0,0,0,0,0,1
283,95,13,11,1,0,0,-1,-1,1,1,0,0.89,0,1
284,95,13,11,2,0,0,1,0,1,1,0,1.49,0,1
285,95,13,11,3,1,1,0,0,0,0,0,0,0,1
286,96,13,12,1,1,0,1,0,1,0,1,1.19,0,1
287,96,13,12,2,0,0,0,1,-1,0,1,0.99,0,1
288,96,13,12,3,0,1,0,0,0,0,0,0,0,1
289,97,13,13,1,0,0,-1,-1,1,1,0,1.19,0,1
290,97,13,13,2,0,0,1,0,-1,1,0,0.99,0,1
291,97,13,13,3,1,1,0,0,0,0,0,0,0,1
292,98,13,14,1,1,0,-1,-1,1,-1,-1,0.99,0,1
293,98,13,14,2,0,0,0,1,-1,0,1,1.49,0,1
294,98,13,14,3,0,1,0,0,0,0,0,0,0,1
295,99,15,1,1,0,0,-1,-1,-1,-1,-1,0.99,1,0
296,99,15,1,2,1,0,0,1,1,1,0,1.19,1,0
297,99,15,1,3,0,1,0,0,0,0,0,0,1,0
298,100,15,2,1,0,0,1,0,1,0,1,0.89,1,0
299,100,15,2,2,1,0,-1,-1,1,1,0,1.99,1,0
300,100,15,2,3,0,1,0,0,0,0,0,0,1,0
301,101,15,3,1,0,0,-1,-1,-1,-1,-1,1.49,1,0
302,101,15,3,2,0,0,0,1,-1,0,1,1.19,1,0
303,101,15,3,3,1,1,0,0,0,0,0,0,1,0
304,102,15,4,1,0,0,1,0,1,-1,-1,1.19,1,0
305,102,15,4,2,0,0,0,1,-1,0,1,0.99,1,0
306,102,15,4,3,1,1,0,0,0,0,0,0,1,0
307,103,15,5,1,0,0,-1,-1,-1,1,0,0.89,1,0
308,103,15,5,2,0,0,0,1,-1,1,0,1.99,1,0
309,103,15,5,3,1,1,0,0,0,0,0,0,1,0
310,104,15,6,1,0,0,-1,-1,-1,0,1,1.19,1,0
311,104,15,6,2,0,0,1,0,1,0,1,1.49,1,0
312,104,15,6,3,1,1,0,0,0,0,0,0,1,0
313,105,15,7,1,0,0,0,1,1,-1,-1,0.89,1,0
314,105,15,7,2,0,0,-1,-1,1,0,1,1.99,1,0
315,105,15,7,3,1,1,0,0,0,0,0,0,1,0
316,106,15,8,1,0,0,0,1,-1,-1,-1,1.49,1,0
317,106,15,8,2,0,0,1,0,1,0,1,0.99,1,0
318,106,15,8,3,1,1,0,0,0,0,0,0,1,0
319,107,15,9,1,1,0,-1,-1,1,1,0,0.99,1,0
320,107,15,9,2,0,0,1,0,-1,1,0,1.19,1,0
321,107,15,9,3,0,1,0,0,0,0,0,0,1,0
322,108,15,10,1,0,0,0,1,1,-1,-1,0.89,1,0
323,108,15,10,2,0,0,1,0,-1,-1,-1,1.99,1,0
324,108,15,10,3,1,1,0,0,0,0,0,0,1,0
325,109,15,11,1,0,0,1,0,-1,1,0,1.49,1,0
326,109,15,11,2,0,0,-1,-1,-1,0,1,0.89,1,0
327,109,15,11,3,1,1,0,0,0,0,0,0,1,0
328,110,15,12,1,0,0,0,1,1,0,1,1.99,1,0
329,110,15,12,2,0,0,1,0,-1,1,0,0.89,1,0
330,110,15,12,3,1,1,0,0,0,0,0,0,1,0
331,111,15,13,1,1,0,0,1,1,1,0,0.99,1,0
332,111,15,13,2,0,0,-1,-1,1,1,0,1.49,1,0
333,111,15,13,3,0,1,0,0,0,0,0,0,1,0
334,112,15,14,1,0,0,1,0,-1,-1,-1,0.99,1,0
335,112,15,14,2,0,0,-1,-1,1,-1,-1,1.19,1,0
336,112,15,14,3,1,1,0,0,0,0,0,0,1,0
337,113,17,1,1,1,0,1,0,-1,1,0,0.89,1,0
338,113,17,1,2,0,0,-1,-1,1,1,0,1.19,1,0
339,113,17,1,3,0,1,0,0,0,0,0,0,1,0
340,114,17,2,1,1,0,-1,-1,1,-1,-1,0.99,1,0
341,114,17,2,2,0,0,0,1,-1,0,1,1.19,1,0
342,114,17,2,3,0,1,0,0,0,0,0,0,1,0
343,115,17,3,1,0,0,0,1,1,0,1,1.99,1,0
344,115,17,3,2,0,0,1,0,-1,-1,-1,1.49,1,0
345,115,17,3,3,1,1,0,0,0,0,0,0,1,0
346,116,17,4,1,0,0,-1,-1,1,0,1,1.49,1,0
347,116,17,4,2,0,0,1,0,-1,0,1,0.99,1,0
348,116,17,4,3,1,1,0,0,0,0,0,0,1,0
349,117,17,5,1,0,0,1,0,-1,-1,-1,1.19,1,0
350,117,17,5,2,1,0,0,1,1,1,0,1.49,1,0
351,117,17,5,3,0,1,0,0,0,0,0,0,1,0
352,118,17,6,1,0,0,0,1,-1,-1,-1,0.89,1,0
353,118,17,6,2,1,0,1,0,-1,1,0,0.99,1,0
354,118,17,6,3,0,1,0,0,0,0,0,0,1,0
355,119,17,7,1,0,0,1,0,1,0,1,0.89,1,0
356,119,17,7,2,0,0,-1,-1,1,-1,-1,0.99,1,0
357,119,17,7,3,1,1,0,0,0,0,0,0,1,0
358,120,17,8,1,0,0,1,0,1,-1,-1,1.19,1,0
359,120,17,8,2,0,0,0,1,1,-1,-1,0.89,1,0
360,120,17,8,3,1,1,0,0,0,0,0,0,1,0
361,121,17,9,1,0,0,1,0,1,0,1,1.49,1,0
362,121,17,9,2,1,0,0,1,1,1,0,1.19,1,0
363,121,17,9,3,0,1,0,0,0,0,0,0,1,0
364,122,17,10,1,0,0,1,0,1,1,0,1.99,1,0
365,122,17,10,2,0,0,-1,-1,-1,1,0,0.89,1,0
366,122,17,10,3,1,1,0,0,0,0,0,0,1,0
367,123,17,11,1,0,0,-1,-1,-1,-1,-1,1.99,1,0
368,123,17,11,2,0,0,0,1,-1,0,1,0.99,1,0
369,123,17,11,3,1,1,0,0,0,0,0,0,1,0
370,124,17,12,1,1,0,0,1,-1,-1,-1,1.49,1,0
371,124,17,12,2,0,0,-1,-1,-1,0,1,1.19,1,0
372,124,17,12,3,0,1,0,0,0,0,0,0,1,0
373,125,17,13,1,1,0,0,1,1,1,0,0.99,1,0
374,125,17,13,2,0,0,-1,-1,-1,1,0,1.99,1,0
375,125,17,13,3,0,1,0,0,0,0,0,0,1,0
376,126,17,14,1,0,0,0,1,-1,0,1,1.99,1,0
377,126,17,14,2,0,0,-1,-1,1,0,1,0.89,1,0
378,126,17,14,3,1,1,0,0,0,0,0,0,1,0
379,127,19,1,1,0,0,-1,-1,1,1,0,0.99,0,0
380,127,19,1,2,1,0,1,0,-1,0,1,0.89,0,0
381,127,19,1,3,0,1,0,0,0,0,0,0,0,0
382,128,19,2,1,0,0,1,0,1,0,1,0.99,0,0
383,128,19,2,2,1,0,0,1,-1,-1,-1,1.99,0,0
384,128,19,2,3,0,1,0,0,0,0,0,0,0,0
385,129,19,3,1,1,0,1,0,1,-1,-1,1.49,0,0
386,129,19,3,2,0,0,0,1,-1,-1,-1,0.99,0,0
387,129,19,3,3,0,1,0,0,0,0,0,0,0,0
388,130,19,4,1,0,0,-1,-1,1,-1,-1,1.19,0,0
389,130,19,4,2,1,0,1,0,1,1,0,1.49,0,0
390,130,19,4,3,0,1,0,0,0,0,0,0,0,0
391,131,19,5,1,0,0,1,0,-1,1,0,1.99,0,0
392,131,19,5,2,1,0,-1,-1,-1,-1,-1,1.49,0,0
393,131,19,5,3,0,1,0,0,0,0,0,0,0,0
394,132,19,6,1,1,0,0,1,1,0,1,1.49,0,0
395,132,19,6,2,0,0,-1,-1,1,0,1,1.99,0,0
396,132,19,6,3,0,1,0,0,0,0,0,0,0,0
397,133,19,7,1,1,0,1,0,-1,-1,-1,0.89,0,0
398,133,19,7,2,0,0,-1,-1,1,-1,-1,1.19,0,0
399,133,19,7,3,0,1,0,0,0,0,0,0,0,0
400,134,19,8,1,0,0,-1,-1,-1,0,1,0.89,0,0
401,134,19,8,2,1,0,0,1,1,1,0,1.99,0,0
402,134,19,8,3,0,1,0,0,0,0,0,0,0,0
403,135,19,9,1,1,0,1,0,1,1,0,1.19,0,0
404,135,19,9,2,0,0,0,1,1,-1,-1,0.89,0,0
405,135,19,9,3,0,1,0,0,0,0,0,0,0,0
406,136,19,10,1,0,0,1,0,-1,0,1,1.19,0,0
407,136,19,10,2,1,0,0,1,1,1,0,0.89,0,0
408,136,19,10,3,0,1,0,0,0,0,0,0,0,0
409,137,19,11,1,0,0,0,1,-1,0,1,1.49,0,0
410,137,19,11,2,1,0,-1,-1,-1,1,0,0.99,0,0
411,137,19,11,3,0,1,0,0,0,0,0,0,0,0
412,138,19,12,1,1,0,0,1,1,-1,-1,0.99,0,0
413,138,19,12,2,0,0,1,0,-1,-1,-1,1.99,0,0
414,138,19,12,3,0,1,0,0,0,0,0,0,0,0
415,139,19,13,1,0,0,-1,-1,1,0,1,1.99,0,0
416,139,19,13,2,1,0,0,1,-1,0,1,1.19,0,0
417,139,19,13,3,0,1,0,0,0,0,0,0,0,0
418,140,19,14,1,1,0,0,1,-1,1,0,1.19,0,0
419,140,19,14,2,0,0,-1,-1,-1,1,0,1.49,0,0
420,140,19,14,3,0,1,0,0,0,0,0,0,0,0
421,141,21,1,1,0,0,1,0,-1,0,1,1.99,0,1
422,141,21,1,2,0,0,0,1,1,0,1,1.49,0,1
423,141,21,1,3,1,1,0,0,0,0,0,0,0,1
424,142,21,2,1,1,0,-1,-1,1,1,0,0.99,0,1
425,142,21,2,2,0,0,1,0,-1,1,0,0.89,0,1
426,142,21,2,3,0,1,0,0,0,0,0,0,0,1
